"Player","Makes the Merge","Makes the Jury","Makes Final Tribal Council","Wins the Season","Wins Individual Immunity","Wins Individual Reward Challenge","Tribe Wins Immunity","Tribe Wins Reward Challenge","Correctly Plays Idol on Self","Correctly Plays Idol on Someone Else","Plays Shot in the Dark and is Safe","Finds Idol or Advantage","Voted Out with Idol in Pocket","Incorrectly Plays Idol","Loses Their Vote","Plays Shot in the Dark and Goes Home","Quits","Unanimously Voted Out","Voted Out"
"Jonathan Young","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Hunter","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tiffany Ervin","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Hubicki","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephenie LaGrossa Kendrick","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Genevieve Mushaluk","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1"
"Benjamin ""Coach"" Wade","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dee Valladares","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aubry Bracco","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ozzy Lusth","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Rizo Velovic","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kamilla Karthigesu","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Colby Donaldson","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Emily Flippen","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rick Devens","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cirie Fields","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chrissy Hofbeck","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
